Name: “Table 1 of 1 on page 2 of 6”,Name: “Table 1 of 1 on page 2 of 6”,Name: “Table 1 of 1 on page 2 of 6”,Name: “Table 1 of 1 on page 2 of 6”,Name: “Table 1 of 1 on page 2 of 6”,Name: “Table 1 of 1 on page 2 of 6”,Name: “Table 1 of 1 on page 2 of 6”
Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2
,,,,,,
,National Clandestine Laboratory Register - Virginia,National Clandestine Laboratory Register - Virginia,National Clandestine Laboratory Register - Virginia,National Clandestine Laboratory Register - Virginia,National Clandestine Laboratory Register - Virginia,
COUNTY,CITY,ADDRESS,ADDRESS,,,DATE
FLOYD,RINER,1100,WHITE OAK GROVE,WHITE OAK GROVE,,1/16/2013
FRANKLIN,BOONES MILL,1252,CROWELL GAP ROAD,CROWELL GAP ROAD,CROWELL GAP ROAD,11/19/2012
FRANKLIN,FERRUM,400,RAMBLING ROSE,RAMBLING ROSE,,11/24/2013
FRANKLIN,ROCKY MOUNT,71 CASSELL DRIVE,71 CASSELL DRIVE,,,10/22/2007
FRANKLIN,ROCKY MOUNT,280,OLD FURNACE ROAD,OLD FURNACE ROAD,,1/12/2013
FRANKLIN,ROCKY MOUNT,3199,OLD FRANKLIN TURNPIKE,OLD FRANKLIN TURNPIKE,OLD FRANKLIN TURNPIKE,4/17/2013
GILES,NARROWS,500 VIEW N ST,500 VIEW N ST,,,5/27/2004
GLOUCESTER,GLOUCESTER,15295 GEORGE WASHINGTON HWY,15295 GEORGE WASHINGTON HWY,15295 GEORGE WASHINGTON HWY,15295 GEORGE WASHINGTON HWY,9/24/2005
,,3169 NORTH GEORGE WASHINGTON,3169 NORTH GEORGE WASHINGTON,3169 NORTH GEORGE WASHINGTON,3169 NORTH GEORGE WASHINGTON,
GLOUCESTER,HAYES,MEMORIAL HIGHWAY,MEMORIAL HIGHWAY,MEMORIAL HIGHWAY,,2/15/2012
GRAYSON,INDEPENDENCE,2568 PEACH BOTTOM RD,2568 PEACH BOTTOM RD,2568 PEACH BOTTOM RD,,6/2/2004
GRAYSON,MOUTH OF WILSON,110 WAKEFIELD LN,110 WAKEFIELD LN,,,1/22/2004
