Name: “Table 1 of 1 on page 4 of 6”,Name: “Table 1 of 1 on page 4 of 6”,Name: “Table 1 of 1 on page 4 of 6”,Name: “Table 1 of 1 on page 4 of 6”,Name: “Table 1 of 1 on page 4 of 6”
Table: 4,Table: 4,Table: 4,Table: 4,Table: 4
,,,,
,National Clandestine Laboratory Register - Virginia,National Clandestine Laboratory Register - Virginia,National Clandestine Laboratory Register - Virginia,
COUNTY,CITY,ADDRESS,ADDRESS,DATE
RUSSELL,LEBANON,516,BRUMLEY CIRCLE,7/2/2010
RUSSELL,SWORDS CREEK,3239,SWORDS CREEK ROAD 1,1/4/2013
RUSSELL,SWORDS CREEK,3621,SWORDS CREEK ROAD,6/6/2013
SALEM (CITY),SALEM,300 NORTH BRUFFEY STREET,300 NORTH BRUFFEY STREET,5/9/2013
SCOTT,GATE CITY,154,BETHANY STREET 103,2/23/2011
SCOTT,GATE CITY,154,BETHANY STREET 103,2/23/2011
SHENANDOAH,WOODSTOCK,201 NORTH MAIN,201 NORTH MAIN,7/8/2008
SMYTH,ATKINS,471 STONEWAY,471 STONEWAY,5/10/2004
SMYTH,ATKINS,120 OLD TANNERY RD,120 OLD TANNERY RD,9/3/2004
SMYTH,CHILHOWIE,1051 CHESTNUT RIDGE DR,1051 CHESTNUT RIDGE DR,6/28/2004
SMYTH,CHILHOWIE,579 OVERLOOK DR,579 OVERLOOK DR,8/20/2004
SMYTH,CHILHOWIE,680 NEED MORE RD,680 NEED MORE RD,3/19/2005
SMYTH,CHILHOWIE,409,WHITETOP ROAD,2/27/2010
SMYTH,CHILHOWIE,232,HOLIDAY DRIVE,6/30/2010
SMYTH,CHILHOWIE,565,MILL CREEK ROAD,11/8/2010
SMYTH,GROSCLOSE,263 KNIGHT RD,263 KNIGHT RD,12/2/2004
SMYTH,MARION,245 SPRING HOLLOW RD,245 SPRING HOLLOW RD,5/12/2004
SMYTH,MARION,1732 HWY 16 A,1732 HWY 16 A,6/28/2004
SMYTH,MARION,431 PORTER VALLEY RD,431 PORTER VALLEY RD,7/11/2004
SMYTH,MARION,696 MIDDLE FORK RD,696 MIDDLE FORK RD,8/26/2004
SMYTH,MARION,455 DOUGLAS ST C,455 DOUGLAS ST C,9/3/2004
SMYTH,MARION,731 OLIVE ST,731 OLIVE ST,9/23/2004
SMYTH,MARION,610 WALKERS CREED RD,610 WALKERS CREED RD,10/11/2004
SMYTH,MARION,213 TRIMBLE DR,213 TRIMBLE DR,10/25/2004
SMYTH,MARION,395 SUGAR ST,395 SUGAR ST,1/6/2005
SMYTH,MARION,213 TREMBLE,213 TREMBLE,3/24/2005
SMYTH,MARION,1578,WALKERS CREEK ROAD,1/5/2010
SMYTH,MARION,206,WALKERS CREEK ROAD,3/12/2010
SMYTH,MARION,341,FIRESTONE LANE,7/13/2010
SMYTH,MARION,422,SPRUCE STREET,8/12/2010
SMYTH,MARION,233,DEANS BRANCH ROAD,6/18/2012
SMYTH,MARION,3031 BROOKSIDE DRIVE,3031 BROOKSIDE DRIVE,2/8/2013
SMYTH,MARION,416 SOUTH CHURCH STREET,416 SOUTH CHURCH STREET,3/8/2013
SMYTH,MARION,801,HUTTON BRANCH ROAD,3/18/2013
SMYTH,MARION,237 WEST CHERRY STREET,237 WEST CHERRY STREET,7/19/2013
SMYTH,MARION,459,DOUGLAS STREET C,7/19/2013
SMYTH,SALTVILLE,2208 SALTVILLE HWY,2208 SALTVILLE HWY,2/18/2004
SMYTH,SALTVILLE,205 DOANE HOLLOW RD,205 DOANE HOLLOW RD,1/12/2005
SMYTH,SALTVILLE,1037,WORTHY BOULEVARD,5/26/2010
SMYTH,SALTVILLE,219 FRYE TOWN LANE,219 FRYE TOWN LANE,10/12/2012
SMYTH,SALTVILLE,300,DAVIDSON ST STREET,1/24/2014
SMYTH,SALTVILLE,1075,UPPER POORE VALLEY RD ROAD,1/27/2014
SMYTH,SALTVILLE,219,FRYE TOWN LN ROAD,1/29/2014
SMYTH,SUGAR GROVE,5005 BETTER HOMES DR 11,5005 BETTER HOMES DR 11,6/28/2004
SMYTH,SUGAR GROVE,4996 SUGAR GROVE HWY,4996 SUGAR GROVE HWY,8/8/2005
STAFFORD,STAFFORD,3 SAINT VINCENT COURT,3 SAINT VINCENT COURT,1/30/2007
STAUNTON (CITY),STAUNTON,816 GREENVILLE AVE,816 GREENVILLE AVE,7/10/2004
TAZEWELL,JEWELL RIDGE,1022,JEWELL MAIN MALL,9/11/2010
TAZEWELL,JEWELL RIDGE,509,JEWELL MAIN ROAD,1/11/2013
TAZEWELL,RICHLANDS,227,DICKENSON STREET,2/13/2013
VIRGINIA BEACH (CITY),VIRGINIA BEACH,6304 OLD PROVIDENCE RD,6304 OLD PROVIDENCE RD,5/5/2005
VIRGINIA BEACH (CITY),VIRGINIA BEACH,215 SOUTH BIRDNECK ROAD,215 SOUTH BIRDNECK ROAD,7/12/2013
VIRGINIA BEACH (CITY),VIRGINIA BEACH,1275,BAKER ROAD 29,7/25/2013
,,4 of 6,,3/4/2014
